Finished Step 7950 | Learning Rate: 0.000285 | Train Loss: 1.3336 | Validation Loss: 1.5339
Finished Step 8000 | Learning Rate: 0.000281 | Train Loss: 1.3341 | Validation Loss: 1.5080
Finished Step 8050 | Learning Rate: 0.000277 | Train Loss: 1.3345 | Validation Loss: 1.5347
Finished Step 8100 | Learning Rate: 0.000273 | Train Loss: 1.3347 | Validation Loss: 1.5258
Finished Step 8150 | Learning Rate: 0.000270 | Train Loss: 1.3330 | Validation Loss: 1.5368
Finished Step 8200 | Learning Rate: 0.000266 | Train Loss: 1.3322 | Validation Loss: 1.5137
Finished Step 8250 | Learning Rate: 0.000263 | Train Loss: 1.3292 | Validation Loss: 1.5680
Finished Step 8300 | Learning Rate: 0.000259 | Train Loss: 1.3315 | Validation Loss: 1.5265
Finished Step 8350 | Learning Rate: 0.000256 | Train Loss: 1.3289 | Validation Loss: 1.5509
Finished Step 8400 | Learning Rate: 0.000253 | Train Loss: 1.3298 | Validation Loss: 1.5458
Finished Step 8450 | Learning Rate: 0.000249 | Train Loss: 1.3278 | Validation Loss: 1.4998
Finished Step 8500 | Learning Rate: 0.000246 | Train Loss: 1.3302 | Validation Loss: 1.5137
Finished Step 8550 | Learning Rate: 0.000243 | Train Loss: 1.3282 | Validation Loss: 1.5216
Finished Step 8600 | Learning Rate: 0.000240 | Train Loss: 1.3249 | Validation Loss: 1.5322
Finished Step 8650 | Learning Rate: 0.000238 | Train Loss: 1.3264 | Validation Loss: 1.5177
Finished Step 8700 | Learning Rate: 0.000235 | Train Loss: 1.3289 | Validation Loss: 1.5261
Finished Step 8750 | Learning Rate: 0.000232 | Train Loss: 1.3275 | Validation Loss: 1.5440
Finished Step 8800 | Learning Rate: 0.000230 | Train Loss: 1.3250 | Validation Loss: 1.5525
Finished Step 8850 | Learning Rate: 0.000227 | Train Loss: 1.3240 | Validation Loss: 1.5019
Finished Step 8900 | Learning Rate: 0.000225 | Train Loss: 1.3233 | Validation Loss: 1.5278
Finished Step 8950 | Learning Rate: 0.000223 | Train Loss: 1.3261 | Validation Loss: 1.5187
Finished Step 9000 | Learning Rate: 0.000221 | Train Loss: 1.3224 | Validation Loss: 1.5557
Finished Step 9050 | Learning Rate: 0.000219 | Train Loss: 1.3205 | Validation Loss: 1.5060
Finished Step 9100 | Learning Rate: 0.000217 | Train Loss: 1.3252 | Validation Loss: 1.5401
Finished Step 9150 | Learning Rate: 0.000215 | Train Loss: 1.3260 | Validation Loss: 1.5181
Finished Step 9200 | Learning Rate: 0.000213 | Train Loss: 1.3244 | Validation Loss: 1.5238
Finished Step 9250 | Learning Rate: 0.000212 | Train Loss: 1.3236 | Validation Loss: 1.5340
Finished Step 9300 | Learning Rate: 0.000210 | Train Loss: 1.3208 | Validation Loss: 1.5557
Finished Step 9350 | Learning Rate: 0.000209 | Train Loss: 1.3215 | Validation Loss: 1.5176
Finished Step 9400 | Learning Rate: 0.000208 | Train Loss: 1.3233 | Validation Loss: 1.5054
Finished Step 9450 | Learning Rate: 0.000206 | Train Loss: 1.3163 | Validation Loss: 1.5192
Finished Step 9500 | Learning Rate: 0.000205 | Train Loss: 1.3195 | Validation Loss: 1.5114
Finished Step 9550 | Learning Rate: 0.000204 | Train Loss: 1.3208 | Validation Loss: 1.5434
Finished Step 9600 | Learning Rate: 0.000203 | Train Loss: 1.3184 | Validation Loss: 1.5358
Finished Step 9650 | Learning Rate: 0.000203 | Train Loss: 1.3218 | Validation Loss: 1.5295
Finished Step 9700 | Learning Rate: 0.000202 | Train Loss: 1.3184 | Validation Loss: 1.5747
Finished Step 9750 | Learning Rate: 0.000201 | Train Loss: 1.3184 | Validation Loss: 1.5393
Finished Step 9800 | Learning Rate: 0.000201 | Train Loss: 1.3194 | Validation Loss: 1.5172
Finished Step 9850 | Learning Rate: 0.000200 | Train Loss: 1.3161 | Validation Loss: 1.5301
Finished Step 9900 | Learning Rate: 0.000200 | Train Loss: 1.3169 | Validation Loss: 1.5329
Finished Step 9950 | Learning Rate: 0.000200 | Train Loss: 1.3173 | Validation Loss: 1.5414
Finished Step 10000 | Learning Rate: 0.000200 | Train Loss: 1.3174 | Validation Loss: 1.5526
